"full_name","gender","mfa_degree","role","prize_year","prize_name","prize_amount","prize_institution","prize_type","prize_genre","given_name","last_name","author_wikidata","author_wikidata_label","author_viaf","author_lccn","elite_institution","graduate_degree","iowa_mfa_person_id","stegner","title_of_winning_book"
"Andrea Lawlor","nonbinary/they","University of Massachusetts, Amherst","winner","2020","Whiting Award","50,000","Whiting Foundation","career","no genre","Andrea","Lawlor","Q97930223","Andrea Lawlor","26865645","no2008023022","","graduate","","",""
"Raquelsalas Rivera","nonbinary/he","","judge","2020","Lenore Marshall Poetry Prize","25,000","Academy of American Poets","book","poetry","Raquelsalas","Rivera","","","","","University of Pennsylvania","graduate","","","A Fortune For Your Disaster"
"Garth Greenwell","male","Washington University","judge","2020","Jean Stein Book Award","75,000","PEN America","book","no genre","Garth","Greenwell","Q5524350","Garth Greenwell","168706841","n2011011035","Harvard University","graduate","","","Where Reasons End"
"William T. Vollman","male","","judge","2020","Jean Stein Book Award","75,000","PEN America","book","no genre","William T.","Vollman","Q29344","William T. Vollmann","46804375","n85319852","Cornell University","","","","Where Reasons End"
"Michael Schaub","male","","judge","2020","Jean Stein Book Award","75,000","PEN America","book","no genre","Michael","Schaub","","","","","","","","","Where Reasons End"
"Jericho Brown","male","University of New Orleans","winner","2020","Pulitzer Prize","15,000","Columbia University","book","poetry","Jericho","Brown","Q15440076","Jericho Brown","317141438","no2009022322","","graduate","","","The Tradition"
"Patrick Phillips","male","University of Maryland","judge","2020","Pulitzer Prize","15,000","Columbia University","book","poetry","Patrick","Phillips","Q7147467","Patrick Phillips","75706006","n2004042666","","graduate","","","The Tradition"
"Adam Kirsch","male","","judge","2020","Pulitzer Prize","15,000","Columbia University","book","poetry","Adam","Kirsch","Q4679350","Adam Kirsch","119488947","n2002024448","Harvard University","graduate","","","The Tradition"
"Alexander Chee","male","University of Iowa","judge","2020","Drue Heinz Literature Prize","15,000","University of Pittsburg Press","book","prose","Alexander","Chee","Q4718581","Alexander Chee","162709698","n2001037216","","graduate","2149","","The Prince Of Mournful Thoughts And Other Stories"
"Eric Banks","male","","judge","2020","Pulitzer Prize","15,000","Columbia University","book","prose","Eric","Banks","","","","","","","","","The Nickel Boys"
"Colson Whitehead","male","","winner","2020","Pulitzer Prize","15,000","Columbia University","book","prose","Colson","Whitehead","Q509662","Colson Whitehead","69151887","n98027019","Harvard University","","","","The Nickel Boys"
"Oscar Villalon","male","","judge","2020","Pulitzer Prize","15,000","Columbia University","book","prose","Oscar","Villalon","","","","","","","","","The Nickel Boys"
"Daniel Menaker","male","Johns Hopkins University","judge","2020","Diamonstein-Spielvogel Award For The Art Of The Essay","15,000","PEN America","book","prose","Daniel","Menaker","Q16732469","Daniel Menaker","33451712","n85298839","","graduate","","","Resurrection Of The Wild: Meditations On Ohio's Natural Landscape"
"Jelani Cobb","male","","judge","2020","Diamonstein-Spielvogel Award for the Art of the Essay","15,000","PEN America","book","prose","Jelani","Cobb","Q8013536","Jelani Cobb","248579229","n2001040692","","graduate","","","Resurrection Of The Wild: Meditations On Ohio's Natural Landscape"
"De'Shawn Charles Winslow","male","University of Iowa","judge","2020","First Novel Prize","15,000","Center for Fiction","book","prose","De'Shawn Charles","Winslow","Q120505975","De'Shawn Charles Winslow","9223372036854775808","n2018051868","","graduate","missing","","Luster"
"Stefan Merrill Block","male","","judge","2020","First Novel Prize","15,000","Center for Fiction","book","prose","Stefan Merrill","Block","Q3972256","Stefan Merrill Block","79216826","n2007020242","","","","","Luster"
"Laird Hunt","male","Naropa University","judge","2020","National Book Award","10,000","National Book Foundation","book","prose","Laird","Hunt","Q16204397","Laird Hunt","14907223","no97000632","","graduate","","","Interior China Town"
"Keaton Patterson","male","","judge","2020","National Book Award","10,000","National Book Foundation","book","prose","Keaton","Patterson","","","","","","graduate","","","Interior China Town"
"Charles Yu","male","","winner","2020","National Book Award","10,000","National Book Foundation","book","prose","Charles","Yu","Q5083786","Charles Yu","76104238","no2007114091","","","","","Interior China Town"
"Timothy Donnelly","male","Columbia University","judge","2020","Kate Tufts Discovery Award","10,000","Claremont Graduate University","book","poetry","Timothy","Donnelly","Q7807159","Timothy Donnelly","6752424","n2002041614","Columbia University","graduate","","","I Can't Talk About The Trees Without The Blood"
"Luis Rodriguez","male","","judge","2020","Kate Tufts Discovery Award","10,000","Claremont Graduate University","book","poetry","Luis","Rodriguez","","","","","","","","","I Can't Talk About The Trees Without The Blood"
"John Hennesey","male","University of Arkansas","judge","2020","National Book Award","10,000","National Book Foundation","book","poetry","John","Hennesey","","","","","Princeton University","graduate","","","DMZ Colony"
"Rigoberto González","male","University of Arizona","judge","2020","National Book Award","10,000","National Book Foundation","book","poetry","Rigoberto","González","Q7333845","Rigoberto González","43620311","n98086894","","graduate","","","DMZ Colony"
"Timothy Donnelly","male","Columbia University","judge","2020","Kingsley Tufts Poetry Award","100,000","Claremont Graduate University","book","poetry","Timothy","Donnelly","Q7807159","Timothy Donnelly","6752424","n2002041614","Columbia University","graduate","","","A Sand Book"
"Luis Rodriguez","male","","judge","2020","Kingsley Tufts Poetry Award","100,000","Claremont Graduate University","book","poetry","Luis","Rodriguez","","","","","","","","","A Sand Book"
"Davidl Ulin","male","","judge","2020","Hemingway Award for Debut Novel","10,000","PEN America","book","prose","Davidl","Ulin","","","","","University of Pennsylvania","","","","A Prayer For Travelers"
"Tim Seibles","male","Vermont College of Fine Arts","judge","2020","Lenore Marshall Poetry Prize","25,000","Academy of American Poets","book","poetry","Tim","Seibles","Q7804255","Tim Seibles","14616617","nr89012503","","graduate","","","A Fortune For Your Disaster"
"Hanif Abdurraqib","male","","winner","2020","Lenore Marshall Poetry Prize","25,000","Academy of American Poets","book","poetry","Hanif","Abdurraqib","Q25936064","Hanif Abdurraqib","9223372036854775808","no2016118263","","","","","A Fortune For Your Disaster"
"Jeremy O. Harris","male","Yale University","winner","2020","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","Jeremy O.","Harris","Q112042530","Jeremy O'Harris","","","","graduate","","",""
"John Guare","male","Yale University","judge","2020","Arthur Rense Prize","20,000","American Academy of Arts and Letters","career","poetry","John","Guare","Q320556","John Guare","71506879","n80065728","","graduate","","",""
"John Guare","male","Yale University","judge","2020","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","John","Guare","Q320556","John Guare","71506879","n80065728","","graduate","","",""
"John Guare","male","Yale University","judge","2020","Benjamin H. Danks Award","20,000","American Academy of Arts and Letters","career","no genre","John","Guare","Q320556","John Guare","71506879","n80065728","","graduate","","",""
"John Guare","male","Yale University","judge","2020","Christopher Lightfoot Walker Award","100,000","American Academy of Arts and Letters","career","no genre","John","Guare","Q320556","John Guare","71506879","n80065728","","graduate","","",""
"John Guare","male","Yale University","judge","2020","E. M. Forster Award","10,000","American Academy of Arts and Letters","career","no genre","John","Guare","Q320556","John Guare","71506879","n80065728","","graduate","","",""
"John Guare","male","Yale University","judge","2020","Rosenthal Family Foundation Award","10,000","American Academy of Arts and Letters","career","prose","John","Guare","Q320556","John Guare","71506879","n80065728","","graduate","","",""
"Luther Hughes","male","Washington University","winner","2020","Ruth Lilly And Dorothy Sargent Rosenberg Poetry Fellowship","25,800","Poetry Foundation","career","poetry","Luther","Hughes","","","","","","graduate","","",""
"Terrance Hayes","male","University of Pittsburgh","judge","2020","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Terrance","Hayes","Q7703264","Terrance Hayes","19313000","no99042009","","graduate","","",""
"Terrance Hayes","male","University of Pittsburgh","winner","2020","Rebekah Johnson Bobbitt National Prize For Poetry","10,000","Library of Congress","career","poetry","Terrance","Hayes","Q7703264","Terrance Hayes","19313000","no99042009","","graduate","","",""
"Terrance Hayes","male","University of Pittsburgh","judge","2020","Wallace Stevens Award","100,000","Academy of American Poets","career","poetry","Terrance","Hayes","Q7703264","Terrance Hayes","19313000","no99042009","","graduate","","",""
"Jericho Brown","male","University of New Orleans","winner","2020","USA Fellowship","50,000","United States Artists (Ford, Rockefeller, Rasmuson, and Prudential)","career","no genre","Jericho","Brown","Q15440076","Jericho Brown","317141438","no2009022322","","graduate","","",""
"Robert Wrigley","male","University of Montana","judge","2020","Jackson Poetry Prize","75,000","Poets & Writers","career","poetry","Robert","Wrigley","Q7351272","Robert Wrigley","52952040","n78090918","","graduate","","",""
"David St John","male","University of Iowa","judge","2020","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","David","St John","Q5240013","David St. John","11122111","n79058424","","graduate","3483","",""
