Year,Library,AENGLC Rank,Circulation,Circulation Per Capita,Collection Per Capita,Collection Size,Library Materials Expenditure,Library Visits,Library Visits Per Cap,Operating Expenditures,Operating Income,Operating Income Per Capita,Population,Program Attendance,Program Attendance Per Capita,Programs,Reference Questions,Registered Borrowers,Registrations Per Capita,Wages & Salaries Expenditures
1996,Middletown - Russell,103,541276,9.085098579,3.960591472,172761,218661,331098,7.590508941,1750510,1855722,42.54291609,43620,13884,0.31829436,382,55735,24478,0.561164603,1339356
1997,Middletown - Russell,100,553757,12.64227661,4.105360486,179823,234722,317575,7.250239715,1921144,1995390,45.55476919,43802,15425,0.35215287,440,61447,27929,0.637619287,1465224
1998,Middletown - Russell,97,529883,12.18177847,4.378224286,190444,257543,316798,7.283047496,1967460,2148415,49.39112143,43498,16806,0.386362591,478,54407,30968,0.711940779,1497046
1999,Middletown - Russell,108,505833,11.59104033,4.369110907,190668,294384,296449,6.793056829,2080115,2296972,52.63455545,43640,16746,0.383730522,435,51057,31087,0.712351054,1521559
2000,Middletown - Russell,116,505707,11.58815307,,,263864,271001,6.20992209,2218378,2309183,52.91436755,43640,,,,70502,,,1575636
2001,Middletown - Russell,125,502124,11.63212639,4.446428985,191939,275102,270346,6.262793338,2221630,2295929,53.18713369,43167,12204,0.282715964,495,68263,26113,0.604929692,1696599
2002,Middletown - Russell,125,531245,11.64704464,4.287314742,195553,290215,330843,7.253420153,2296741,2329620,51.07471718,45612,16628,0.364553188,411,31677,35195,0.771617118,1767981
2003,Middletown - Russell,128,592841,12.7350275,4.83201581,224940,285237,320736,6.889843616,2501086,2483483,53.34857793,46552,15419,0.331221,409,47047,27321,0.586892078,1813048
2004,Middletown - Russell,121,628983,13.40600622,4.117652074,193192,296021,312805,6.667057419,2574883,2552772,54.40922461,46918,17097,0.364401722,481,98786,21737,0.463297668,1893138
2005,Middletown - Russell,114,641327,13.60444199,3.909611591,184303,352907,297868,6.318661038,2466363,2513098.34,53.31024671,47141,14999,0.31817314,445,106540,30239,0.641458603,1875772
2006,Middletown - Russell,113,796131,16.78255829,3.907500316,185364,319384,295253,6.223976559,2820139,2689250,56.68978456,47438,14875,0.313567182,422,84565,32945,0.694485434,2004981
2007,Middletown - Russell,132,609814,12.83062616,3.900626999,185389,324537,259298,5.455689278,2870720,2808959,59.10114038,47528,13675,0.28772513,369,84365,31369,0.660010941,2097223
2008,Middletown - Russell,126,606495,12.76079364,3.783456821,180766,317550,280301,5.897597206,2927078,2880245.51,60.28392796,47778,12844,0.2702407,434,85999,32520,0.684228244,2184194
2009,Middletown - Russell,126,552665,11.56735318,3.961530411,189274,321626,279177,5.843212357,3386176,2832511.17,59.28484177,47778,13952,0.292017246,405,31089,23500,0.491858177,2216868
2010,Middletown - Russell,123,702211,14.62025817,3.667312097,176141,268601,323338,6.732000833,3341196,2845679,59.2479492,48030,25616,0.533333333,932,37327,,,2174367
2011,Middletown - Russell,122,597265,12.53494375,4.050453324,192996,328722,313582,6.581220618,3630032,2894560,60.74882472,47648,11722,0.246012424,621,33253,17621,0.369816152,2242538
2012,Middletown - Russell,132,585351,12.28490178,4.044681833,192721,293775,318438,6.683134654,3520488,2910335,61.07989842,47648,14612,0.306665547,721,32867,,,2273404
2013,Middletown - Russell,121,508032,10.73496038,4.146349709,196226,355648,282955,5.978975172,3657217,2915322,61.60215531,47325,15551,0.328600106,676,30982,,,2362500
2014,Middletown - Russell,132,455196,9.616884626,4.260727188,201673,266662,292781,6.185557645,3662945,2988819,63.14450806,47333,13668,0.288762597,657,45477,,,2450047
2015,Middletown - Russell,131,383400,8.149990434,4.332971962,203836,247407.31,275542,5.857236996,3952282.93,3114861,66.21306039,47043,16492,0.35057288,732,43424,12361,0.262759603,2490538
2016,Middletown - Russell,129,351238,7.512148173,4.168855334,194919,235985,241206,5.158824536,4035774,3027700,64.75532552,46756,14595,0.312152451,706,40947,13707,0.293160236,2544732
2017,Middletown - Russell,133,289206,6.213604331,4.010119457,186647,216807,213301,4.582781884,3752314,2954535,63.47832159,46544,14387,0.309105363,808,43472,14745,0.316797009,2348434
2018,Middletown - Russell,131,271005,5.830823185,4.15235165,192993,233559.28,185513,3.991415293,3898209.95,3072016.66,66.0961457,46478,15997,0.344184345,1052,45370,14890,0.320366625,2371820.02
2019,Middletown - Russell,128,271312,5.879426169,3.943440385,181974,219698,207778,4.502622112,3237513,3206382,69.48342218,46146,17269,0.374225285,920,44494,14652,0.317513977,2604837
2020,Middletown - Russell,129,256695,5.5492023,3.550823641,164254,228437.1,141733,3.063967314,3305325.19,3261461.57,70.50589239,46258,12442,0.268969692,631,34347,14338,0.309957197,2684389.44
2021,Middletown - Russell,128,205399,4.308226361,3.149341388,150148,219168.76,51727,1.084969377,3292508.86,3447581.25,72.31272024,47676,6403,0.134302374,441,25309,13279,0.278525883,2637408.69
2022,Middletown - Russell,132,230199,4.88662223,3.255646599,153367,225468,107070,2.272862359,3377055,3457359,73.39218392,47108,5001,0.106160312,344,31834,14722,0.312515921,2707789
2023,Middletown - Russell,131,295060,6.05512118,2.45724312,119739,233728,138529,2.842845123,3624249,3633046,74.556137,48729,16329,0.335098196,521,17526,11035,0.226456525,2797617
