"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"R5YXDEEV","book","1938","Barney, Caroline Clark; Barney, Caroline Clark","The Verona press rhyme sheets nos. 1-6.","","","","","","","1938","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","","","","","","The Oxford University Press","London","eng","","","","","onesearch.wesleyan.edu","YYP 9V54","ISSN: 0302-9468","","","","","Collections; Poems; Poetry; Portfolios (containers)","","","","Barney, Caroline Clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BWMJJM7K","book","1850","Barney, Caroline Clark; Barney, Caroline Clark","The national songster: embellished with twenty-five splendid engravings, illustrative of the American victories in Mexico","","","","","","","1850","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","The national songster","","","","","Cornish, Lamport & Co.","New York","eng","","","","","onesearch.wesleyan.edu","YYP 9N277","","","","","","1846-1848; American ballads; Mexican War, 1846-1848; Songs and music; Songs, English; Texts; United States","","","","Barney, Caroline Clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VW8EMDNK","book","1925","Fyson, Geoffrey; Barney, Caroline Clark","Island lights: poems","","","","","","","1925","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","Island lights","","","","","Elkin Matthews","London","eng","","","","","onesearch.wesleyan.edu","YYP F999","","","","","","Davison, Edward Lewis, 1898-1970; Presentation inscription from G. F. Fyson","","","","Barney, Caroline Clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LBAJF8ZH","book","1946","Douglas, Keith; Barney, Caroline Clark","Alamein to Zem Zem.","","","","","","","1946","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","","","","","","Editions Poetry London","London","eng","","","","","onesearch.wesleyan.edu","D811 .D65","","","","","","1939-1945; Africa, North; English; North Africa; Personal narratives; Personal narratives, English; World War, 1939-1945","","","","Barney, Caroline Clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9AQCNU4P","book","1929","Crosby, Harry; Barney, Caroline Clark","Mad Queen: tirades.","","","","","","","1929","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","Mad Queen","","","","","Black Sun Press","Paris","eng","","","","","onesearch.wesleyan.edu","YYP C9491m","","","","","","","","","","Barney, Caroline Clark","","","","","","","","","","","","","","","","[1st ed.].","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JANB7BPK","book","1957","Patchen, Kenneth; Barney, Caroline Clark","Hurrah for anything: poems & drawings","","","","","","","1957","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","Hurrah for anything","Jargon","21","","","J. Williams","Highlands [N.C","eng","","","","","onesearch.wesleyan.edu","YYP P29h","","","","","","1900-1999; 20th century; American poetry; Art and literature; Artists' books; North Carolina; Poems","","","","Barney, Caroline Clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WA5AAE7T","book","1956","Zukofsky, Louis; Barney, Caroline Clark","Some time: short poems","","","","","","","1956","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","Some time","Jargon","15","","","J. Williams","Stuttgart","eng","","","","","onesearch.wesleyan.edu","YYP Z94s","","","","","","Poetry; Zukofsky, Louis, 1904-1978 Poems","","","","Barney, Caroline Clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7JPB3IX5","book","1966","Osiris, Jean; Barney, Caroline Clark","A un Vietnamien","","","","","","","1966","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","","","","","","Réactions","Bern, Switzerland","fre","","","","","onesearch.wesleyan.edu","PQ2675.S5 A65 1966","","","","","","","","","","Barney, Caroline Clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C5542X2K","book","1950","Barney, Caroline Clark; Barney, Caroline Clark","Key poets.","","","","","","","1950","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","","","","","","Alan Swallow","Denver","eng","","","","","onesearch.wesleyan.edu","YYP 9K44","","","","","","1900-1999; 20th century; English poetry","","","","Barney, Caroline Clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3DMY74SA","book","1967","Bohne, Pall W.; Barney, Caroline Clark","Haiku with birds","","","","","","","1967","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","","","","","","Bookhaven Press","South San Gabriel, Calif","eng","","","","","onesearch.wesleyan.edu","PS3552.O53 H3","ISSN: 0043-2873","","","","","20th century; Birds; California; Haiku; Miniature books; Poetry; Private presses; Specimens","","","","Barney, Caroline Clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4ZEUXSBK","book","1958","Corso, Gregory; Barney, Caroline Clark; City Lights Books","Bomb","","","","","","","1958","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","","","","","","City Lights Books","San Francisco","eng","","","","","onesearch.wesleyan.edu","YYP C826b","","","","","","20th century; Antinuclear movement; Authors' autographs; Broadside poems; California; Nuclear warfare; Poetry; San Francisco","","","","Barney, Caroline Clark; City Lights Books","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
