"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6ETEYXYN","book","1852","Sears, Robert","The pictorial family annual","","","","","","","1852","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","","","","","","Sears","New York","eng","","","","","onesearch.wesleyan.edu","AY11 .P52 1852","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q55Z2DV7","book","1840","Mayo, Sarah C. Edgarton","The Rose of Sharon.","","","","","","","1840","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","","","","","","A. Tompkins and B.B. Mussey","Boston, Mass","eng","","","","","onesearch.wesleyan.edu","AY11 .R68","ISSN: 1945-1962 Publication Title: The Rose of Sharon.","","","","","19th century; Gift books; Periodicals; United States.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6Z6HJY26","book","1835","Herbert, Henry William; Bancroft, Monson; Ash, Thomas T.; Bancroft, Charles H.; Van Norden, William; King, Aaron; Durand, A. B.; Casilear, John William; Rolph, John A.; Kelly, Thomas; Graham, A. W.; Parker, George; Smillie, James; Prud'homme, John Francis Eugene; Ingham, Charles Cromwell; Fisher, Alvan; Chapman, J. G.; Evers, John; Inman, Henry; Ward, J. C.; Cole, Thomas; Herbert, Henry William; Bancroft, Monson; Ash, Thomas T.; Bancroft, Charles H.; Van Norden, William; King, Aaron; Durand, A. B.; Casilear, John William; Rolph, John A.; Kelly, Thomas; Graham, A. W.; Parker, George; Smillie, James; Prud'homme, John Francis Eugene; Ingham, Charles Cromwell; Fisher, Alvan; Chapman, J. G.; Evers, John; Inman, Henry; Ward, J. C.; Cole, Thomas; B & S Collins; Wiley & Long; Russell, Odiorne; H & H Griffin","The Magnolia. 1836.","","","","","","","1835","2024-10-29 15:21:12","2024-10-29 15:21:12","","","10+300","","","","","","","","","","Monson Bancroft Broadway","New-York","eng","","","","","onesearch.wesleyan.edu","AY11 .M3 1836","","","","","","1836; Gift books; Gilt edges (Binding); Intaglio prints; Leather bindings (Binding); Pictorial bindings (Binding); Publishers' bindings (Binding); Signed bindings (Binding)","","","","Herbert, Henry William; Bancroft, Monson; Ash, Thomas T.; Bancroft, Charles H.; Van Norden, William; King, Aaron; Durand, A. B.; Casilear, John William; Rolph, John A.; Kelly, Thomas; Graham, A. W.; Parker, George; Smillie, James; Prud'homme, John Francis Eugene; Ingham, Charles Cromwell; Fisher, Alvan; Chapman, J. G.; Evers, John; Inman, Henry; Ward, J. C.; Cole, Thomas; B & S Collins; Wiley & Long; Russell, Odiorne; H & H Griffin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JGQKXPJ4","book","1847","Bedell, Gregory Thurston; Colton, Chauncey; Sigourney, L. H.; Bedell, Gregory Thurston; Colton, Chauncey; Sigourney, L. H.","The Religious souvenir for Christmas and New-Years.","","","","","","","1847","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","","","","","","S. Andrus","Hartford","eng","","","","","onesearch.wesleyan.edu","AY11 .R4 1846","ISSN: 0498-4773 Publication Title: The Religious souvenir for Christmas and New-Years.","","","","","Gift books","","","","Bedell, Gregory Thurston; Colton, Chauncey; Sigourney, L. H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CFD2Q3Z5","book","1852","Judson, L. Carroll","The sages and heroes of the American revolution. In two parts, including the signers of the Declaration of Independence. Two hundred and forty three of the sages and heroes are presented in due form and many others are named incidently.","","","","","","","1852","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","","","","","","The author","Philadelphia","eng","","","","","onesearch.wesleyan.edu","E206 .J93 1852","","","","","","1775-1783; Biographies; Biography; History; Revolution, 1775-1783; United States","","","","","","","","","","","","","","","","","","","","Rev. stereotype ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AKHK6KZE","book","1850","Percival, Emily","Gems of beauty; or, Literary gift for MDCCCL.","","","","","","","1850","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","","","","","","Phillips, Sampson and Co.","Boston","eng","","","","","onesearch.wesleyan.edu","AY11 .G4 1850","","","","","","19th century; American literature; Gift books","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E34ZPCS6","book","1849","Pollok, Robert","The course of time: a poem, in ten books","","","","","","","1849","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","The course of time","","","","","Silas Andrus and Son","Hartford","eng","","","","","onesearch.wesleyan.edu","PR5189 .P2 C86 1849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJLVZAHP","book","1844","Sigourney, L. H.; Cheney, John; Cheney, Seth Wells; Pease, Joseph Ives; Cheney, John; Cheney, Seth Wells; Pease, Joseph Ives","The Gift: a Christmas and New Year's present. XDCCCLIV.","","","","","","","1844","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","The Gift","","","","","Carey and Hart","Philadelphia","eng","","","","","onesearch.wesleyan.edu","AY11 .G5 1844","","","","","","Gift books","","","","Cheney, John; Cheney, Seth Wells; Pease, Joseph Ives","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LA9Y7DFI","book","1853","Stone, Cyrus; Stone, Cyrus","The family annual: a gift book for the holidays: with thirty engravings and flowers.","","","","","","","1853","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","The family annual","","","","","Published by Cyrus Stone Cornhill.","Boston","eng","","","","","onesearch.wesleyan.edu","AY11 .F2 1853","ISSN: 1402-2087","","","","","1853; Gift books","","","","Stone, Cyrus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FNYF884B","book","1852","","The Token of friendship: an offering for all seasons : illustrated.","","","","","","","1852","2024-10-29 15:21:12","2024-10-29 15:21:12","","","","","","","","The Token of friendship","","","","","Phillips, Sampson","Boston","eng","","","","","onesearch.wesleyan.edu","AY11 .T765 1852","","","","","","Gift books","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
