Location Name,Title,Permanent Call Number,Author
Hallock Collection,"""The prayer of Agassiz""; a poem",W62pr,"Whittier, John Greenleaf, 1807-1892."
Hallock Collection,"""Truth is stranger than fiction."" An autobiography of the Rev. Josiah Henson (Mrs. Harriet Beecher Stowe's ""Uncle Tom"") from 1789 to 1879.",S89xh,"Henson, Josiah, 1789-1883."
Hallock Collection,"... Friar Jerome's beautiful book, etc., selected from Cloth of gold and Flower and thorn.",A36fr,"Aldrich, Thomas Bailey, 1836-1907."
Hallock Collection,A Moosehead journal. /,L91mo,"Lowell, James Russell, 1819-1891."
Hallock Collection,"A New Year's address to the patrons of the Essex gazette, 1828 : with a letter hitherto unpublished /",W62ne,"Whittier, John Greenleaf, 1807-1892."
Hallock Collection,A Poe manuscript /,P74yma,"Mabbott, Thomas Ollive, 1898-1968."
Hallock Collection,A Rivermouth romance /,A36r,"Aldrich, Thomas Bailey, 1836-1907."
Hallock Collection,A Sabbath scene.,W62s,"Whittier, John Greenleaf, 1807-1892."
Hallock Collection,A Victorian American : Henry Wadsworth Longfellow /,L85yg,"Gorman, Herbert Sherman, 1893-1954."
Hallock Collection,A Whittier treasury /,W62whta,"Whittier, John Greenleaf, 1807-1892."
Hallock Collection,A Whittier treasury selected by the Countess of Portsmouth from the works of John Greenleaf Whittier.,W62wht,"Whittier, John Greenleaf, 1807-1892."
Hallock Collection,"A Yankee in Canada, : with Anti-slavery and reform papers. /",T48wy,"Thoreau, Henry David, 1817-1862."
Hallock Collection,"A biography of Ralph Waldo Emerson, set forth as his life essay,",E53ys6,"Snider, Denton Jaques, 1841-1925."
Hallock Collection,"A biography of William Cullen Bryant, with extracts from his private correspondence.",B91yg,"Godwin, Parke, 1816-1904."
Hallock Collection,A bit of unpublished correspondence between Henry D. Thoreau and Isaac T. Hecker.,T48b,"Thoreau, Henry David, 1817-1862."
Hallock Collection,"A chapter on autography,",P74c,"Poe, Edgar Allan, 1809-1849."
Hallock Collection,"A child's poems from October to October, 1870-1871 /",B91xr,"Robinson, Lucy, 1861-1903."
Hallock Collection,"A child's reminiscence,",W61c,"Whitman, Walt, 1819-1892."
Hallock Collection,A chronicle of the conquest of Granada.,I72chb,"Irving, Washington, 1783-1859."
Hallock Collection,"A continuation of the narrative of the Indian charity-school, in Lebanon in Connecticut, New England, founded and carried on by the Revd. Dr. Eleazar Wheelock.",C762,"Wheelock, Eleazar, 1711-1779."
Hallock Collection,A correspondence between John Sterling and Ralph Waldo Emerson : with a sketch of Sterling's life by Edward Waldo Emerson.,E53xs8,"Sterling, John, 1806-1844, author."
Hallock Collection,A day with the poet Wordsworth.,W92d,"Byron, May Clarissa Gillington, -1936."
Hallock Collection,"A defense of Edgar Allan Poe. Life, character and dying declarations of the poet. An official account of his death,",P74ym8,"Moran, John J."
Hallock Collection,A description of the Wordsworth & Coleridge manuscripts in the possession of Mr. T. Norton Longman. With three facsimile reproductions.,W92des,"Wordsworth, William, 1770-1850."
Hallock Collection,"A description of the dedication of the monument erected at Guilford, Connecticut, in honor of Fitz-Greene Halleck ...",H18yw,
Hallock Collection,A description of the scenery of the lakes in the north of England /,W92de,"Wordsworth, William, 1770-1850, author."
Hallock Collection,"A discourse occasioned by the death of William Ellery Channing, D.D. pronounced before the Unitarian societies of New-York and Brooklyn, in the Church of the Messiah, October 13th, 1842.",B91xb,"Bellows, Henry W. 1814-1882. (Henry Whitney),"
