,entity,label,start,end,context
4,IV,GPE,165,167," League
   III.   A Case of Identity
   **IV**.    The Boscombe Valley Mystery
   V.  "
24,Baker Street,FAC,2108,2120,"emian
soul, remained in our lodgings in **BAKER STREET**, buried among his old
books, and altern"
30,Holland,GPE,2864,2871,"successfully for the reigning family of **HOLLAND**. Beyond these signs of
his activity, ho"
34,Baker Street,FAC,3195,3207,"l practice), when
my way led me through **BAKER STREET**. As I passed the well-remembered
door, "
35,Scarlet,GPE,3350,3357,"with the dark incidents of the Study in **SCARLET**, I was seized with a
keen desire to see"
46,London,GPE,5775,5781,"malignant boot-slitting specimen of the **LONDON** slavey. As
to your practice, if a gentl"
53,Europe,LOC,7638,7644," services to one of the royal houses of
**EUROPE** have shown that you are one who may saf"
61,the ‘Eg,FAC,9037,9044,"of course, stands for ‘Papier.’ Now for **THE ‘EG**.’ Let us
glance at our Continental Gaze"
64,Egria,GPE,9174,9179," shelves. “Eglow, Eglonitz—here we are, **EGRIA**. It is in a
German-speaking country—in "
66,Bohemia,GPE,9219,9226,". It is in a
German-speaking country—in **BOHEMIA**, not far from Carlsbad. ‘Remarkable
as "
67,Carlsbad,GPE,9241,9249,"eaking country—in Bohemia, not far from **CARLSBAD**. ‘Remarkable
as being the scene of the "
84,Hercules,GPE,11046,11054,"n height, with the chest and limbs of a **HERCULES**. His dress was rich
with a richness whi"
85,England,GPE,11107,11114,"as rich
with a richness which would, in **ENGLAND**, be looked upon as akin to bad
taste. H"
97,Europe,LOC,13685,13691,"promise one of the reigning families of **EUROPE**. To speak
plainly, the matter implicate"
101,Europe,LOC,14086,14092,"ve reasoner and most energetic agent in **EUROPE**. Holmes
slowly reopened his eyes and lo"
107,Prague,GPE,15113,15119,"his power. I have come _incognito_
from **PRAGUE** for the purpose of consulting you.”

“T"
110,Warsaw,GPE,15299,15305,"ve years ago, during a lengthy
visit to **WARSAW**, I made the acquaintance of the well-kn"
116,New Jersey,GPE,15905,15915,"Let me see!” said Holmes. “Hum! Born in **NEW JERSEY** in the year 1858.
Contralto—hum! La Sca"
121,Warsaw,GPE,15994,16000,"ala, hum! Prima donna Imperial Opera of **WARSAW**—yes!
Retired from operatic stage—ha! Li"
122,London,GPE,16048,16054,"tired from operatic stage—ha! Living in **LONDON**—quite so! Your
Majesty, as I understand"
138,London,GPE,18521,18527,". Your Majesty will, of course, stay in **LONDON** for the
present?”

“Certainly. You will"
148,Serpentine Avenue,FAC,19231,19248," address?” he asked.

“Is Briony Lodge, **SERPENTINE AVENUE**, St. John’s Wood.”

Holmes took a note "
149,St. John’s Wood,GPE,19250,19265,".

“Is Briony Lodge, Serpentine Avenue, **ST. JOHN’S WOOD**.”

Holmes took a note of it. “One other"
157,Baker Street,FAC,19731,19743,"I.

At three o’clock precisely I was at **BAKER STREET**, but Holmes had not
yet returned. The l"
187,Briony Lodge,FAC,24238,24250,"ed whether I should
continue my work at **BRIONY LODGE**, or turn my attention to the
gentleman’"
193,Edgeware Road,FAC,25426,25439,"then to the Church of St. Monica in the
**EDGEWARE ROAD**. Half a guinea if you do it in twenty m"
197,St. Monica,GPE,25960,25970,"t a man might die for.

“‘The Church of **ST. MONICA**, John,’ she cried, ‘and half a sovereig"
231,Baker Street,FAC,31737,31749,"
It was a quarter past six when we left **BAKER STREET**, and it still
wanted ten minutes to the"
233,Serpentine,GPE,31822,31832," to the hour when we found ourselves in **SERPENTINE**
Avenue. It was already dusk, and the la"
234,Avenue,GPE,31833,31839,"r when we found ourselves in Serpentine
**AVENUE**. It was already dusk, and the lamps wer"
263,Baker Street,FAC,40650,40662,"he King without
delay.”

We had reached **BAKER STREET** and had stopped at the door. He was
sea"
266,Baker Street,FAC,41092,41104,"at could have been.”


III.

I slept at **BAKER STREET** that night, and we were engaged upon ou"
280,Serpentine Avenue,FAC,42217,42234,"hich was not broken until we drew up in **SERPENTINE AVENUE**.

The door of Briony Lodge was open, an"
287,England,GPE,42792,42799,"urprise. “Do you mean that she has left **ENGLAND**?”

“Never to return.”

“And the papers?"
332,China,GPE,51588,51593," he is a Freemason, that he has been in **CHINA**, and that he has done
a considerable am"
337,China,GPE,52584,52589,"you
rest it upon the desk?”

“Well, but **CHINA**?”

“The fish that you have tattooed imm"
338,China,GPE,52690,52695,"ight wrist
could only have been done in **CHINA**. I have made a small study of tattoo
ma"
339,China,GPE,52881,52886,"of a delicate pink is quite
peculiar to **CHINA**. When, in addition, I see a Chinese coi"
349,Lebanon,GPE,53732,53739,"bequest of the late
Ezekiah Hopkins, of **LEBANON**, Pennsylvania, U.S.A., there is now ano"
350,Pennsylvania,GPE,53741,53753,"f the late
Ezekiah Hopkins, of Lebanon, **PENNSYLVANIA**, U.S.A., there is now another
vacancy o"
351,U.S.A.,GPE,53755,53761,"kiah Hopkins, of Lebanon, Pennsylvania, **U.S.A.**, there is now another
vacancy open whic"
358,Fleet Street,FAC,54101,54113,"
offices of the League, 7 Pope’s Court, **FLEET STREET**.”


“What on earth does this mean?” I e"
