Work_ID,Date,Date_Uncertainty_Level,Publication_Title,Notes,Source,Type,Location,Links,lat,lon,Coordinates
The Raven,1845-01-29,exact,Evening Mirror ,"[Poe was still employed by the Mirror as a kind of sub-clerk. He joined the staff of the Broadway Journal about February 21, 1845.",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152"
The Raven,1845-02-01,exact,American Review ,"The American Review was printed under the title The American Whig Review. Published under pseudonym ""Quarles"" [There has been much debate as to whether this version, or that of the Evening Mirror should enjoy the status of the first printing of the poem. A full page notice inserted in early copies of the first number of the new magazine, bearing the issue date of January 1845, notes that it was advertised to be available in September 1844, with the hope of enouraging subscribers. That date was missed, and it instead appeared in October, with the notice as an apology. The same notice states that although the second number would bear the date of February 1845, it would be issued Òearly in January.Ó The notice was commonly removed when individual issues were bound together as a volume, but several copies with the notice intact are known, including one in the Gimbel Collection of the Philadelphia Free Public Library.]",https://www.eapoe.org/works/info/pp073.htm,Magazine,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152"
The Raven,1845-02-03,exact,New York Morning News,"Â  (Apparently reprinted from the Evening Mirror.) (First documented by Claude Richard, Studies in Bibliography, 1968, p. 54, and noted in Poe Newsletter, October 1968, p. 30)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152"
The Raven,1845-02-04,exact,New-York Daily Tribune,"This printing is noted as ÒFrom the American Review for February,Ó although Poe is given as the author, first acknowledged in the Evening Mirror. This version incorporates the changes Poe requested in his February 3, 1845 letter to J. A. Shea: https://www.eapoe.org/works/letters/p4502030.htm]",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"New York, NY",https://chroniclingamerica.loc.gov/lccn/sn83030213/1845-02-04/ed-1/seq-4/,40.7127281,-74.0060152,"40.7127281, -74.0060152"
The Raven,1845-02-04,exact, Pittsburgh Daily Post ,"(Pittsburgh, PA), vol. III, no. 127, p. 1, col. 6 (acknowledged as reprinted from the New York Mirror, with the introductory note)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Pittsburgh, PA",,40.4416941,-79.9900861,"40.4416941, -79.9900861"
The Raven,1845-02-08,exact, Broadway Journal ,Poe was editor and owner,https://www.eapoe.org/works/info/pp073.htm,Newspaper,"New York, NY",https://babel.hathitrust.org/cgi/pt?id=coo.31924007167913&seq=102&q1=22the+raven,40.7127281,-74.0060152,"40.7127281, -74.0060152"
The Raven,1845-02-08,exact, Weekly Mirror,,https://www.eapoe.org/works/info/pp073.htm,Newspaper,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152"
The Raven,1845-02-08,exact, New-York Weekly Tribune,,https://www.eapoe.org/works/info/pp073.htm,Newspaper,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152"
The Raven,1845-02-08,exact, New York Weekly News ,"(Reprint from the Morning News of February 3, 1845, itself reprinted from the Evening Mirror.) (First documented by Tanselle, Studies in Bibliography, 1968, p. 220-223)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152"
The Raven,1845-02-08,exact, Alexandria Gazette and Virginia Advertiser," (Alexandria, VA), vol. XLV, no. 34, p. 1, cols. 4-5 (noted as reprinted from the American Review for February, but with Poe's name in the byline)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Alexandria, VA",https://chroniclingamerica.loc.gov/lccn/sn85025007/1845-02-08/ed-1/seq-1/,38.8051095,-77.0470229,"38.8051095, -77.0470229"
The Raven,1845-02-15,exact, Howard District Press,,https://www.eapoe.org/works/info/pp073.htm,Newspaper,Maryland,,42.0655835,-89.5473342,"42.0655835, -89.5473342"
The Raven,1845-02-15,exact, Pennsylvania Inquirer and National Gazette," (Philadelphia) (not in H&C. First cited by Tanselle, 1963. Also noted in 1992 â""The Poe Catalogue,"" of the 19th Century Bookshop, p. 75. The poem appears there under the heading â""A Beautiful Poem."")",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Philadelphia, PA",,39.9527237,-75.1635262,"39.9527237, -75.1635262"
The Raven,1845-02-17,exact, Boston Post,", Boston, MA (noted by Kevin Hayes)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Boston, MA",,42.3554334,-71.060511,"42.3554334, -71.060511"
The Raven,1845-02-17,exact, Arkansas State Gazette,"(Little Rock, AK), vol. XXVI, no. 11 (whole no. 1311), p. 3, cols. 4-6 (acknowledged as reprinted from the New York Evening Mirror, with the introductory note)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Little Rock, AR",,34.74648,-92.28959,"34.74648, -92.28959"
The Raven,1845-02-21,exact, Liberator," (issue p. 4, volume p. 32) (Acknowledged as â""[From the American Review for February.]"" The introductory note quotes the first sentece of the note from the American Review: â""The following lines from a correspondent  ",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Boston, MA",https://chroniclingamerica.loc.gov/lccn/sn84031524/1845-02-21/ed-1/seq-4/,42.3554334,-71.060511,"42.3554334, -71.060511"
The Raven,1845-02-22,exact, New World,"Â  (acknowledged as â""From the American Review for Feburary,"" with the attribution as â""By Quarels.""Â Â  (In the February 15, 1845 issue [p. 108], the New World favorably noticed the American Review, commenting: â""Edgar A. Poe, we believe under the â€˜nom de plumeâ€™ of Quarles, gives a wild and shivery poem, which he calls the Raven. It is written in a Stanza unknown before to gods, men, and booksellers, but it fills and delights the ear strangely with its wild and clashing music. Everybody reads the Poem and praises it   justly we think, for it seems to us full of originality and power."")",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152"
The Raven,1845-02-23,exact, Western Literary Messenger,,https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Buffalo, NY",,42.8867166,-78.8783922,"42.8867166, -78.8783922"
The Raven,1845-02-23,exact, Vermont Phoeniz,", Brattleboro, VT (reprinted from the American Review)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Brattleboro, VT",https://chroniclingamerica.loc.gov/lccn/sn98060050/1845-02-28/ed-1/seq-1/,42.8507588,-72.5572913,"42.8507588, -72.5572913"
The Raven,1845-02-27,exact,Martinsburg Gazette,,Chronicling America search,Newspaper,"Martinsburg, WV",,39.4562528,-77.9639604,"39.4562528, -77.9639604"
The Raven,1845-03-01,approximate to the month, Southern Literary Messenger,,https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Richmond, VA",https://quod.lib.umich.edu/m/moajrnl/acf2679.0011.003/200:14?page=root;rgn=full+text;size=100;view=image;q1=raven,37.5385087,-77.43428,"37.5385087, -77.43428"
The Raven,1845-03-03,exact, Exeter News-Letter and Rockingham Advertise,"rÂ  (not in H&C. Noted for sale by a dealer on Oct. 9, 2008.) (Reprinted from the Evening Mirror, including Willis's introductory note as a footnote, and attributed to the â""New Mirror."" The poem appears prominently on page 1, near the top of column 1)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Exeter, N.H.",,42.981477,-70.9478343,"42.981477, -70.9478343"
The Raven,1845-03-04,exact," St. Lawrence Republican,"," Ogdensburgh, NY (noted by Kevin Hayes, 2004)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Ogdensburgh, NY ",,41.077262,-74.598604,"41.077262, -74.598604"
The Raven,1845-03-07,exact, Schenectady Reflector," (Schenectady, NY), vol. XI, no. 10, p. 1, cols. 3-4 (reprinted from New York Mirror)",https://www.eapoe.org/works/info/pp073.htm,Newspaper,"Schenectady, NY",,42.8142432,-73.9395687,"42.8142432, -73.9395687"
