Work_ID,Date,Date_Uncertainty_Level,Publication_Title,Notes,Source,Type,Publication_Location,Links,lat,lon,Coordinates,Year
The Raven,1845-04-19,exact date," A Plain System of Elocution, by G. Vandenhoff","Â  (second edition, New York) (Although this was an unauthorized reprint, it is the first appearance of the poem in a book. Later editions do not include the poem. It may have been removed by legal pressure.)",https://www.eapoe.org/works/info/pp073.htm,Book,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152",1845
The Raven,1845-11-19,approximate to the day,"
The Raven and Other Poems","New York: Wiley and Putnam, 161 Broadway. The volume was initially issued separately with pink paper wraps. Beginning sometime early in 1846, it was issued in hard covers, bound together with the earlier Tales . The original sale price was 31 cents for the separate volume, and $1.00 for the double volume.",https://www.eapoe.org/works/editions/raop.htm,Book,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152",1845
The Raven,1847-05-29,exact date,Poets and Poetry of America (8th edition),Eight editionPhiladelphia: Carey & Hart,https://www.eapoe.org/works/info/pp073.htm,Book,"Philadelphia, PA",,39.9527237,-75.1635262,"39.9527237, -75.1635262",1847
The Raven,1850-01-01,approximate to the year, WORKS  ," Griswold prints the poem from RAOP, with most of Poe's corrections from RAOP-JLG (Mabbott textÂ W)Â  (Griswold's typesetter retains some punctuation, ignoring Poe's changes, and adds two new errors)",https://www.eapoe.org/works/info/pp073.htm,Book,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152",1850
The Raven,1850-01-01,approximate to the year,"The Living Writers of America, by  Thomas Powell",", New York: Stringer and Townsend, 1850, pp. 128-131, omitting several stanzas)",https://www.eapoe.org/works/info/pp073.htm,Book,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152",1850
The Raven,1851-01-01,approximate to the year, Parker's Fourth Reader ,(The poem is lesson CLXXIV),https://www.eapoe.org/works/info/pp073.htm,Book,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152",1851
The Raven,1852-01-01,approximate to the year," The String of Diamonds, Gathered from Many Mines, by ""A Gem Fancier"""," (copyright is 1851. It also includes â""The Bells,"" and many poems by other poets.)",https://www.eapoe.org/works/info/pp073.htm,Book,"Hartford, CT",,41.764582,-72.6908547,"41.764582, -72.6908547",1852
The Raven,1852-01-01,approximate to the year, Tales and Sketches: to which is added The Raven: A Poem,", London, George Routledge & Co., pp. 265-258",https://www.eapoe.org/works/info/pp073.htm,Book,"London, UK",,51.5074456,-0.1277653,"51.5074456, -0.1277653",1852
The Raven,1852-01-01,approximate to the year," Tales of Mystery and Imagination and Humour; and Poems, ","London: Henry Vizetelly (An undated edition appears about the same time, published by Charles H. Clark and Samuel Orchart Beeton, and their name appears as publisher for the second series), first series pp. 232-237. (with a woodcut illustration)",https://www.eapoe.org/works/info/pp073.htm,Book,"London, UK",,51.5074456,-0.1277653,"51.5074456, -0.1277653",1852
The Raven,1856-01-01,approximate to the year, Cyclopedia of American Literature,New York: Charles Scribner,https://www.eapoe.org/works/info/pp073.htm,Book,"New York, NY",,40.7127281,-74.0060152,"40.7127281, -74.0060152",1856
